v_mae,v_rmse,v_r2,t_mae,t_rmse,t_r2,macro_mae,macro_rmse,macro_r2,n_rows,model,display_name,rank_v_mae,rank_v_rmse,rank_t_mae,rank_t_rmse,rank_macro_mae,rank_macro_rmse,rank_v_r2,rank_t_r2,rank_macro_r2,average_rank
8.029688957313184,13.26725214019452,0.9808111656587299,0.26226247452081514,0.38202426684779983,0.9809963510329311,4.145975715916999,6.82463820352116,0.9809037583458305,906,wide_deep_mlp,Wide & Deep MLP,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.8888888888888888
7.882183667090522,12.604885656854227,0.9826793395227305,0.3763745999347211,0.49807270055159175,0.967697169766603,4.129279133512622,6.55147917870291,0.9751882546446667,906,catboost,CatBoost,1.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,2.2222222222222223
8.795193774108126,17.5414548861564,0.9664557682716866,0.24851084904776038,0.379602608958857,0.9812365162716312,4.521852311577943,8.96052874755763,0.9738461422716589,906,gated_mlp,Gated MLP,3.0,5.0,1.0,1.0,3.0,5.0,5.0,1.0,4.0,3.111111111111111
10.043878753571233,14.15324271125795,0.9781627203073123,0.3067153087400165,0.42696949191676,0.9762617452043666,5.175297031155625,7.290106101587355,0.9772122327558395,906,ann,ANN,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.111111111111111
10.786692172542091,16.22542518681343,0.971300204614397,0.42536847035898173,0.5646636995825849,0.9584821518453551,5.606030321450536,8.395044443198007,0.9648911782298761,906,xgboost,XGBoost,5.0,4.0,6.0,6.0,5.0,4.0,4.0,6.0,5.0,5.0
13.72971310032882,24.36456068280813,0.9352851724946408,0.38457941387487987,0.5418460541672836,0.9617697684950088,7.0571462571018495,12.453203368487706,0.9485274704948248,906,deep_ensemble_mlp,Deep Ensemble MLP,7.0,8.0,5.0,5.0,6.0,8.0,8.0,5.0,6.0,6.444444444444445
13.695783000628046,20.272893499535343,0.9551958641239746,1.252620758932702,1.7302369982720434,0.6101780526774605,7.474201879780374,11.001565248903693,0.7826869584007176,906,extra_trees,ExtraTrees,6.0,6.0,9.0,9.0,7.0,6.0,6.0,9.0,9.0,7.444444444444445
14.424275401526307,21.579659466808092,0.9492336660766677,1.217448485615123,1.6886019084827437,0.6287130804432384,7.820861943570715,11.634130687645419,0.7889733732599531,906,random_forest,Random Forest,8.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,7.666666666666667
16.03167163984587,27.77066442034127,0.9159264920145646,0.45509137065145716,0.6146083790358341,0.9508128056231652,8.243381505248664,14.192636399688551,0.9333696488188649,906,mlp,MLP,9.0,9.0,7.0,7.0,9.0,9.0,9.0,7.0,7.0,8.11111111111111
