v_mae,v_rmse,v_r2,t_mae,t_rmse,t_r2,n_valid_points,model,display_name,c_rate,n_sequences
0.008387048728764057,0.022560034485012224,0.9963226318359375,0.14203719794750214,0.26019750273750114,0.9958624839782715,48320,mlp,ANN,1.5,302
0.007657719776034355,0.021747935382178674,0.9970733523368835,0.1657097041606903,0.32239095389392314,0.9966034889221191,48320,mlp,ANN,2.0,302
0.007350528612732887,0.02022096502647,0.9977185130119324,0.19589178264141083,0.38217867715528475,0.9971448183059692,48320,mlp,ANN,2.5,302
0.007021376397460699,0.01764403345179826,0.9977506399154663,0.11997199803590775,0.1970861487174077,0.9976261854171753,48320,rnn,RNN,1.5,302
0.00599178671836853,0.016346174971148947,0.9983466267585754,0.13899418711662292,0.2335277741693047,0.9982178807258606,48320,rnn,RNN,2.0,302
0.005920172668993473,0.01517152629642111,0.9987156391143799,0.16988705098628998,0.28646946654215066,0.9983958005905151,48320,rnn,RNN,2.5,302
0.005439485423266888,0.021620684446899054,0.9966224431991577,0.09350807964801788,0.2222969100200282,0.9969800710678101,48320,lstm,LSTM,1.5,302
0.004779158625751734,0.0205059845427597,0.9973980784416199,0.11440635472536087,0.3014457224523889,0.99703049659729,48320,lstm,LSTM,2.0,302
0.004616795107722282,0.019497212165366165,0.997878909111023,0.14285577833652496,0.3856939164874937,0.9970920085906982,48320,lstm,LSTM,2.5,302
0.00522120576351881,0.02235827098342747,0.9963880777359009,0.10526174306869507,0.2497107053866091,0.996189296245575,48320,bilstm,BiLSTM,1.5,302
0.004710817243903875,0.021574400722310184,0.9971198439598083,0.13244156539440155,0.3415182994747058,0.9961885213851929,48320,bilstm,BiLSTM,2.0,302
0.00468777259811759,0.02100264092320164,0.997538685798645,0.16373009979724884,0.4295152665790052,0.9963936805725098,48320,bilstm,BiLSTM,2.5,302
0.007749378215521574,0.018552323554683378,0.9975131154060364,0.1323319375514984,0.22941525569886723,0.9967835545539856,48320,cnn,CNN,1.5,302
0.007070375140756369,0.018707456634539613,0.9978344440460205,0.15159058570861816,0.2834059153647492,0.9973752498626709,48320,cnn,CNN,2.0,302
0.007132810540497303,0.018057715574537725,0.9981805086135864,0.1828460842370987,0.3444027230618927,0.9976813197135925,48320,cnn,CNN,2.5,302
0.0036915314849466085,0.014665248284591013,0.9984460473060608,0.07886359840631485,0.17495397767253262,0.9981293678283691,48320,cnn_bilstm,CNN-BiLSTM,1.5,302
0.0033285857643932104,0.014399973374024357,0.9987168908119202,0.10090702027082443,0.2346285322931476,0.9982010126113892,48320,cnn_bilstm,CNN-BiLSTM,2.0,302
0.003373649436980486,0.013960709555935246,0.998912513256073,0.12891662120819092,0.29722184699743914,0.9982730746269226,48320,cnn_bilstm,CNN-BiLSTM,2.5,302
0.009221446700394154,0.02046537478729668,0.9969738125801086,0.1428869068622589,0.23029608643428692,0.9967588186264038,48320,bayesian_mlp,Bayesian MLP,1.5,302
0.008141100406646729,0.01983265694247706,0.9975661039352417,0.1771167516708374,0.29781182446158005,0.9971016645431519,48320,bayesian_mlp,Bayesian MLP,2.0,302
0.008159191347658634,0.01981495502206652,0.9978091716766357,0.23570607602596283,0.3974918287864876,0.9969114065170288,48320,bayesian_mlp,Bayesian MLP,2.5,302
