v_mae,v_rmse,v_r2,t_mae,t_rmse,t_r2,n_valid_points,model,display_name,operation,n_sequences
0.005332553293555975,0.010455634278932372,0.9754402041435242,0.21622920036315918,0.4236720804294522,0.9906731843948364,72480,mlp,ANN,charge,453
0.010264310985803604,0.028598774969377124,0.9812583327293396,0.11952993273735046,0.17972598493019362,0.9993148446083069,72480,mlp,ANN,discharge,453
0.005083974916487932,0.012694649954159911,0.9637952446937561,0.16851162910461426,0.2928734052006555,0.9955431222915649,72480,rnn,RNN,charge,453
0.007538249250501394,0.019441422635917128,0.9913389682769775,0.11739052087068558,0.1765987513047788,0.9993384480476379,72480,rnn,RNN,discharge,453
0.0032202978618443012,0.009352671525102189,0.980348527431488,0.1528671383857727,0.41404470369493834,0.9910922646522522,72480,lstm,LSTM,charge,453
0.006669995374977589,0.027530370728887563,0.9826324582099915,0.08097965270280838,0.14582111244993906,0.9995489716529846,72480,lstm,LSTM,discharge,453
0.002639706013724208,0.0066359062951716515,0.9901070594787598,0.17547747492790222,0.46287153502426,0.988867461681366,72480,bilstm,BiLSTM,charge,453
0.007106824778020382,0.029893199394833626,0.9795233607292175,0.09214477986097336,0.16752805673245302,0.9994046688079834,72480,bilstm,BiLSTM,discharge,453
0.004707351792603731,0.008279366955310934,0.9846000671386719,0.19213531911373138,0.3644770558177916,0.9930973649024963,72480,cnn,CNN,charge,453
0.009927690029144287,0.024730775048304256,0.9859851598739624,0.1190437525510788,0.186722993203954,0.999260425567627,72480,cnn,CNN,discharge,453
0.0021074609830975533,0.005709570955386002,0.992676317691803,0.1326952874660492,0.320959635382579,0.9946472644805908,72480,cnn_bilstm,CNN-BiLSTM,charge,453
0.00482171680778265,0.019466746628249508,0.9913163781166077,0.07309618592262268,0.11395215860357442,0.9997245669364929,72480,cnn_bilstm,CNN-BiLSTM,discharge,453
0.005846597719937563,0.010720211886186394,0.9741815328598022,0.2194073349237442,0.3832651887149607,0.9923673868179321,72480,bayesian_mlp,Bayesian MLP,charge,453
0.011167893186211586,0.026235014057597667,0.9842283725738525,0.15106584131717682,0.2300573977604396,0.9988773465156555,72480,bayesian_mlp,Bayesian MLP,discharge,453
